Partner_Country,Tradevalue_USD
Albania,5797
Algeria,747
American Samoa,235
Angola,6156
Australia,418319
Austria,2184
Azerbaijan,819
Bahrain,8701
Bangladesh,47
Belarus,9816
Belgium,1591018
Benin,1885
Botswana,889
Brazil,821
British Indian Ocean Territory,141
Bulgaria,8617
Cambodia,6538
Cameroon,2430
Canada,7222499
Cayman Islands,966
China,23047449
Congo,536
Cuba,353
Cyprus,303
Czech Republic,147879
Côte d’Ivoire,202
Democratic Republic of the Congo,3730
Denmark,91332
Djibouti,855
Egypt,8489
Equatorial Guinea,370
Eritrea,16815
Eswatini,417
Ethiopia,6982
Faroe Islands,32
Fiji,306
Finland,21162
France,368413
Gabon,5401
Gambia,42
Georgia,451
Germany,3849289
Greece,13494
Guatemala,22
Guinea,3050
Guyana,1026
Haiti,16357
Hong Kong,139802
Hungary,199202
India,461638
Indonesia,411
Iran (Islamic Republic of),8610
Iraq,68
Ireland,923975
Israel,52202
Italy,1731483
Jamaica,1358
Japan,26026
Jordan,4192
Kenya,13273
Kuwait,86046
Kyrgyzstan,1999
Lao People's Democratic Republic,17429
Latvia,86111
Lebanon,24197
Lesotho,2178
Liberia,419
Libya,3722
Lithuania,328297
Macau,613
Malawi,503
Malaysia,372564
Malta,11679
Micronesia (Federated States of),14292
Morocco,367858
Mozambique,5465
Myanmar,560
Namibia,253
Netherlands,4148915
New Zealand,1734
Niger,2776
Nigeria,142076
Norway,15299
Oman,3012
Pakistan,1066699
Panama,4602
Philippines,17626
Poland,2660762
Portugal,12853
Qatar,34728
Republic of Korea,3046757
Romania,18612
Russian Federation,181
Saint Kitts and Nevis,149
Saudi Arabia,480678
Senegal,3374
Serbia,455
Sierra Leone,539
Singapore,6688
South Africa,34799
Spain,1025210
Sri Lanka,270
Sudan,650
Sweden,119170
Switzerland,91614
Thailand,4834
Togo,294857
Trinidad and Tobago,1214
Tunisia,37087
Türkiye,612831
Uganda,3451
Ukraine,250334
United Arab Emirates,1386075
United Kingdom,30310749
United Republic of Tanzania,3060
United States of America,5192869
Unknown,1580
Viet Nam,32163
Zambia,1080
Zimbabwe,42487
